StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1028,16,1,0,3,2.2521845869844137,8,N,Alto,N,N,S,N,2.145204720467192,D
1029,18,0,0,0,18.679748370252344,10,N,Alto,S,N,N,N,2.854803928981318,C
1030,18,0,0,2,3.67159254710292,20,N,Alto,S,N,N,N,1.519441725815139,E
1031,15,0,2,2,5.055317199023282,12,S,Nenhum,N,S,N,N,1.727120309522409,E
1032,15,0,0,3,8.132730537699409,17,N,Elevado,N,N,N,S,1.8475354711387904,E
1033,18,0,0,3,7.663289371182516,25,N,Baixo,N,S,N,N,0.3846169728564877,E
1034,16,0,3,3,15.89325784795778,21,N,Nenhum,S,S,N,N,0.94940609779728,E
1035,16,0,0,3,9.126336411019247,27,S,Moderado,S,S,N,N,1.1409594184203395,E
1036,15,0,3,1,3.415365200066738,23,N,Baixo,N,N,N,N,0.2614722600507521,E
1037,18,0,0,1,5.344197909721482,26,S,Baixo,N,N,N,N,0.2182848568210317,E
1038,15,0,2,1,10.18226770375044,21,S,Baixo,N,S,N,N,1.0677635510419796,E
1039,15,1,1,1,2.949078348522698,3,S,Baixo,S,S,N,N,3.0189058584279675,B
1040,17,1,2,1,12.233113512920282,21,S,Alto,S,S,N,N,1.5268678317927231,E
1041,17,1,3,2,11.314946131022918,23,S,Baixo,N,N,N,N,1.0582873996898603,E
1042,17,0,0,1,14.294046327645152,7,N,Moderado,N,N,N,N,2.625128097732231,C
1043,16,1,3,2,18.754092307587356,12,S,Elevado,N,N,N,N,2.8087548220286536,C
1044,18,1,0,1,18.245091222023117,9,N,Moderado,N,S,N,N,2.888891669272444,C
1045,18,1,0,1,18.921512361376628,1,S,Alto,S,S,N,N,4.0,A
1046,18,0,0,2,4.894311940474019,7,N,Elevado,N,N,S,N,2.515300272256249,C
1047,18,0,1,2,2.6313061327870924,5,N,Baixo,S,N,N,N,2.5637654300150947,C
1048,17,0,0,2,6.04553400992897,15,N,Moderado,N,N,N,N,1.7036118032323682,E
1049,16,0,1,2,17.90170345532629,17,N,Alto,N,N,S,N,2.0998851567205854,D
1050,16,1,1,1,19.441069492469765,16,N,Elevado,S,N,N,N,2.4610469629080955,D
1051,17,1,2,2,17.18649902140952,5,N,Alto,N,N,N,N,2.935477191694632,C
1052,16,1,2,0,2.200354422550872,12,S,Baixo,S,N,S,N,1.9863780592187463,E
1053,17,1,0,1,18.948559961195865,22,N,Elevado,N,N,S,N,1.5715441913992825,E
1054,18,0,0,2,8.46716054701572,13,N,Baixo,N,S,N,N,1.6643106896610833,E
1055,17,0,0,0,0.1862058152470735,29,S,Moderado,S,S,N,N,0.7562591665741925,E
1056,18,0,0,1,8.847874814963872,25,N,Moderado,N,S,N,N,0.8027695392342074,E
1057,18,1,0,4,0.9213833935093518,20,N,Moderado,N,S,S,N,1.3423871779577343,E
1058,15,0,0,4,10.87755842322235,29,N,Alto,S,N,N,N,0.2865712882866222,E
1059,17,0,0,1,6.771080548741026,9,S,Alto,N,S,N,N,2.61383869367367,C
1060,15,1,3,0,9.468698671880976,23,N,Alto,N,S,N,N,0.9290125546259368,E
1061,17,1,1,1,12.26340721486234,10,N,Nenhum,S,N,S,N,1.892758695926592,E
1062,17,0,0,1,17.376021916356407,12,N,Moderado,N,N,S,N,2.331261549308754,D
1063,15,0,1,3,13.238031529438572,11,N,Alto,N,S,N,N,2.234238472600233,D
1064,15,0,0,1,8.680977369563614,8,N,Moderado,N,S,N,N,2.3858282190764624,D
1065,17,0,0,2,16.388557073407302,3,S,Elevado,N,N,N,N,3.347356743507809,B
1066,16,0,1,1,18.111642751462643,6,S,Alto,S,N,N,N,3.2618553073332905,B
1067,18,0,0,4,2.3951993286439444,23,N,Alto,N,S,N,N,1.0396238791477144,E
1068,15,1,0,1,10.638659551055827,28,N,Nenhum,N,S,N,N,0.0278186247324679,E
1069,18,1,3,2,5.690239194848883,21,S,Alto,N,N,S,N,1.3299645378768772,E
1070,16,1,2,1,0.941223957538948,1,N,Elevado,N,N,S,N,3.283916521897384,B
1071,16,0,1,2,13.370933902279706,6,N,Moderado,S,N,N,N,2.937454182316864,C
1072,16,1,1,1,17.255415549184512,28,N,Alto,N,N,S,S,0.7388682028052602,E
1073,15,0,1,1,3.258053089547881,8,N,Moderado,S,S,N,N,2.556801662833417,C
1074,16,0,0,3,16.24827315247801,4,S,Moderado,N,N,N,N,3.300928568970799,B
1075,15,1,0,3,17.067914670738833,14,N,Alto,S,N,S,N,2.200682946560561,D
1076,16,0,0,3,18.28680885332967,17,N,Alto,N,S,N,N,1.8558655731681932,E
1077,18,0,0,2,5.305701781721048,3,N,Alto,N,N,N,N,2.734401494419992,C
1078,18,1,1,3,18.079061303797783,18,S,Baixo,S,S,N,N,2.1317372971872284,D
1079,17,1,0,0,6.413255094728645,19,N,Baixo,N,N,N,N,0.9797699107752862,E
1080,18,1,3,1,11.046760269110056,25,N,Alto,N,S,N,N,0.994325023551287,E
1081,17,0,3,1,1.0101494166456426,6,N,Baixo,N,S,N,N,2.0746999767813343,D
1082,18,1,2,2,0.8776217673748721,25,N,Moderado,N,N,N,N,0.500508035804656,E
1083,15,1,1,1,14.407464254644058,7,N,Nenhum,S,S,N,N,2.532438417587673,C
1084,18,0,2,1,8.88959955955582,16,N,Baixo,N,S,N,N,1.4633780357856976,E
1085,17,1,0,2,5.125847507384352,12,N,Alto,S,S,N,N,2.342836773191855,D
1086,17,1,2,3,3.808269920498204,23,N,Alto,N,N,N,N,1.1588463344506037,E
1087,16,1,0,1,13.399069817184362,20,S,Baixo,S,N,S,S,1.5237487447337323,E
1088,15,0,2,1,0.0080308805067974,27,N,Baixo,N,N,S,N,0.0,E
1089,18,0,0,1,16.117823383937086,22,N,Nenhum,S,N,S,N,1.0586220144439875,E
1090,16,0,2,1,1.5849921225985764,10,N,Moderado,N,N,S,S,2.2297401841747666,D
1091,18,0,3,1,3.829792298162389,26,N,Baixo,N,N,N,S,0.1947432807455151,E
1092,18,1,0,2,7.724727905981792,0,N,Moderado,S,S,N,N,3.5069200713692137,A
1093,16,0,0,2,9.697174794322072,1,S,Alto,N,N,N,N,3.552286943350944,A
1094,16,0,3,2,7.099902316278836,16,S,Alto,N,S,N,N,2.23849135429023,D
1095,16,1,0,1,6.414243299685878,4,N,Baixo,S,S,N,N,2.7084723438568763,C
1096,16,1,2,3,19.278320241463767,29,N,Alto,N,N,N,S,0.7329082339013866,E
1097,16,1,1,1,12.831593624867883,29,N,Elevado,N,N,S,N,0.9654824453045304,E
1098,18,0,0,2,0.4686591073477641,5,N,Moderado,N,S,N,N,2.5552328599380942,C
1099,16,0,0,3,8.603518168886264,25,N,Moderado,S,N,S,S,0.7443222999212357,E
1100,15,0,0,1,17.500173994879404,24,N,Moderado,N,N,N,N,0.7220565813951911,E
1101,17,1,2,1,6.029123728213359,23,S,Baixo,S,S,N,S,1.2712295298373406,E
1102,16,1,0,3,1.8911268954877647,6,N,Alto,S,N,S,S,2.52614214142023,C
1103,16,0,1,1,15.167695431798355,27,N,Alto,S,S,N,N,0.9424153953595232,E
1104,18,1,0,2,12.120276638721624,20,S,Moderado,N,S,N,N,1.515639098395023,E
1105,16,1,1,0,11.406250156530078,29,N,Alto,S,N,N,N,0.6482739267081915,E
1106,16,1,2,2,1.0715311921481585,14,N,Alto,N,S,S,S,2.0488500821388604,D
1107,16,0,3,1,2.8099801959103465,18,N,Nenhum,S,N,N,S,0.8422959992571388,E
1108,18,1,0,0,12.450987924262275,15,N,Baixo,N,S,N,N,1.4641879236906472,E
1109,16,1,2,2,4.156476829176716,24,S,Alto,S,S,N,N,1.487946865169799,E
1110,17,0,2,1,10.081401594968488,12,S,Elevado,N,N,N,N,2.587565796370635,C
1111,18,0,1,1,10.89763372058787,4,S,Alto,N,N,N,N,3.2208069781948727,B
1112,17,1,3,0,5.670143805418788,2,S,Elevado,N,N,S,N,3.5451594318003106,A
1113,18,1,0,1,18.968503110829857,2,N,Moderado,N,N,N,N,3.0895989530746477,B
1114,16,0,0,1,16.8492821367115,18,S,Baixo,N,S,S,N,1.919956439918208,E
1115,17,0,2,0,14.44747015265597,13,S,Moderado,N,N,N,N,2.198593184586961,D
1116,18,1,0,3,1.5598773281881817,15,N,Nenhum,N,N,N,S,0.8782126167627767,E
1117,15,1,2,0,2.122600386180389,21,N,Alto,S,N,S,N,1.340368647512407,E
1118,16,1,2,2,9.855626917299114,16,N,Elevado,N,N,N,N,1.8195113357139088,E
1119,18,1,0,1,3.214266983819713,26,N,Alto,N,S,N,N,0.6193509314675341,E
1120,15,0,2,1,19.56530927058948,3,N,Moderado,S,N,S,S,3.619460869693516,A
1121,18,1,0,3,3.170404680548189,12,S,Baixo,S,S,N,N,2.17490279620988,D
1122,15,1,1,1,9.74935670927948,7,S,Baixo,N,S,S,N,2.974406014911044,C
1123,16,0,1,4,7.282421136830108,18,N,Moderado,N,N,N,N,0.9807358437488028,E
1124,17,1,3,1,12.78772842908196,4,N,Alto,N,N,N,N,3.101673809015105,B
1125,15,0,0,2,2.5807281777884983,1,S,Moderado,S,N,S,N,3.4982573417733205,B
1126,18,1,0,2,8.606328560847817,14,N,Elevado,S,N,N,N,2.590553445052984,C
1127,16,1,1,3,5.494100656142873,1,N,Alto,S,N,N,N,3.5350037581843186,A
1128,15,0,2,2,17.75503049343376,10,S,Baixo,N,S,N,N,2.8199217452931866,C
1129,18,0,1,2,0.8117142426939017,12,S,Baixo,S,S,N,N,2.0165967745176614,D
1130,18,1,0,1,18.274549880129182,22,S,Alto,N,N,N,N,1.3711850388917164,E
1131,18,1,0,1,16.65988277106001,9,N,Baixo,N,N,N,N,2.1047955879699045,D
1132,15,1,0,3,5.951414328816309,2,N,Alto,N,N,N,N,3.030439088696523,B
1133,15,0,2,1,15.785813093542094,4,S,Moderado,N,S,N,N,3.58242187231196,A
1134,15,1,0,1,0.6242712067749512,2,N,Baixo,S,N,N,N,2.4265467060392454,D
1135,17,0,0,2,19.33731100586787,5,S,Moderado,S,N,N,N,3.161436270258364,B
1136,15,0,3,1,10.531898851795788,12,N,Moderado,S,N,N,N,2.122638529628868,D
1137,15,1,0,4,6.065620521308905,9,N,Alto,N,S,N,N,2.204860580997317,D
1138,15,0,3,2,7.251664251893541,18,N,Nenhum,S,N,S,S,1.182987500498048,E
1139,17,1,1,2,1.3281070692099473,7,N,Alto,S,N,N,N,2.7387957163436,C
1140,15,1,2,3,19.786990280840783,17,S,Alto,N,N,N,N,2.2379013009826028,D
1141,18,1,0,0,0.7858389030138491,2,N,Alto,S,N,N,N,3.139481546380388,B
1142,15,1,0,1,13.09814246295718,23,S,Nenhum,S,S,N,N,1.0460447710800969,E
1143,18,1,2,2,8.854718554129166,23,S,Alto,N,N,N,N,0.8164582452137992,E
1144,18,0,2,1,18.978324363774306,16,N,Moderado,S,N,S,N,2.03354462052118,D
1145,18,0,2,2,4.919994806135904,7,S,Moderado,S,S,N,N,2.432078522782237,D
1146,17,1,0,3,10.641736478760226,9,N,Alto,S,N,N,N,2.6597713195279016,C
1147,17,1,2,2,9.64712417165506,1,S,Moderado,S,N,N,S,3.588887939765012,A
1148,17,0,2,1,14.057328881002029,11,N,Alto,N,S,N,N,2.3145876278110027,D
1149,15,0,1,4,1.3602046390484102,22,N,Baixo,S,S,N,S,1.00722582021403,E
1150,18,0,2,2,3.875782600467097,5,N,Alto,S,N,N,N,2.8816123214605245,C
1151,17,0,2,2,4.291296401856997,1,N,Baixo,N,S,S,N,2.804504928911685,C
1152,17,1,1,1,14.763015096833794,20,S,Alto,N,S,N,N,1.7629211240998668,E
1153,15,1,0,3,3.7827739265348015,22,N,Elevado,S,N,N,S,1.11991126295732,E
1154,17,0,0,2,11.469835277819534,23,N,Moderado,N,N,N,N,1.0306575057198797,E
1155,15,1,0,2,4.304876410019074,2,N,Moderado,S,N,N,N,3.0756193536614336,B
1156,16,0,0,3,17.232499001679567,16,S,Alto,S,S,N,N,2.631434065124418,C
1157,17,1,0,1,18.84370908979277,28,N,Nenhum,N,S,S,S,0.5030669073279145,E
1158,16,0,0,2,10.369859498844807,6,N,Moderado,N,N,N,N,2.784237837142815,C
1159,15,1,0,3,7.046177684183565,28,N,Moderado,N,N,N,N,0.2476267650865634,E
1160,18,0,0,1,4.681155500349982,20,N,Alto,N,N,N,S,1.189548769618786,E
1161,17,0,2,2,0.9956200304608752,4,S,Alto,S,N,N,S,3.3759940088028397,B
1162,15,1,3,3,5.370001523949908,22,S,Alto,N,N,N,N,1.293573556445951,E
1163,18,0,0,2,13.084715598906358,0,S,Alto,N,N,S,S,3.7185869042869646,A
1164,18,1,3,2,10.672338626184215,7,N,Alto,S,N,N,N,2.670559614819829,C
1165,16,1,1,3,18.880825565618547,11,S,Moderado,S,N,N,N,2.369648013449619,D
1166,15,0,0,3,7.925545249834012,13,N,Moderado,N,S,N,N,1.6244868202221543,E
1167,18,1,0,1,13.87726684656789,15,S,Moderado,S,S,N,N,2.5374768278143587,C
1168,17,1,1,0,9.786454949502428,9,N,Elevado,N,S,N,N,2.298417928509479,D
1169,17,1,2,2,10.251524318484233,14,N,Alto,S,N,N,N,2.2598041504961186,D
1170,16,1,2,2,5.35548629208235,20,N,Moderado,N,S,N,N,1.3213433008698847,E
1171,18,1,0,2,9.099015536839994,23,N,Alto,N,S,N,N,0.9499742281238568,E
1172,15,0,0,2,9.415699940254145,25,N,Moderado,S,N,N,S,0.818786616073051,E
1173,17,1,0,1,14.132850434978678,14,S,Alto,N,N,N,N,2.3392245127535936,D
1174,18,1,0,2,18.81279998372228,9,N,Moderado,N,S,N,N,2.6827762879633723,C
1175,18,1,0,1,6.586425549650086,20,S,Baixo,S,N,N,N,1.543837471085622,E
1176,16,1,0,2,0.8440093716259689,27,N,Alto,S,N,N,N,0.1969011048236224,E
1177,17,1,2,2,9.925902510012794,6,N,Alto,N,N,N,N,2.748610257448085,C
1178,17,0,3,1,10.889226642983372,25,S,Moderado,S,N,S,N,1.1048937876999445,E
1179,15,1,0,1,3.368811022638305,2,N,Moderado,S,N,N,N,2.553439811443938,C
1180,17,0,3,2,15.209292125521332,1,N,Alto,S,N,N,S,3.2742334588098787,B
1181,15,0,0,2,19.698582168829837,5,S,Alto,N,N,N,N,3.1860603780389143,B
1182,17,0,0,1,18.915494340169214,20,N,Alto,S,N,N,N,1.722115750240589,E
1183,16,0,0,4,3.942120776473044,8,N,Moderado,S,S,N,N,2.3380463575903736,D
1184,17,1,1,2,17.507264798015214,9,S,Elevado,S,S,N,N,3.273998748434336,B
1185,15,0,3,4,14.089872728233694,3,N,Alto,N,N,N,N,2.993502391205279,C
1186,15,0,1,2,9.076931276138232,26,S,Alto,S,N,N,N,0.8963978990233954,E
1187,16,1,0,2,10.812219886494582,2,N,Alto,N,N,N,N,2.9610552588035977,C
1188,17,1,1,3,16.99200349964916,8,N,Baixo,S,N,N,N,2.6743510954520984,C
1189,17,1,0,2,9.602698792767464,23,N,Nenhum,S,S,N,N,1.2178731513333656,E
1190,16,0,2,2,7.464147382102537,21,S,Alto,N,N,N,N,1.36559111032951,E
1191,17,1,1,1,9.864949860519715,16,N,Moderado,N,N,N,S,1.5222748446854282,E
1192,17,1,0,2,11.582596080700982,13,S,Alto,N,N,N,N,2.2314023973705024,D
1193,15,0,1,1,3.781553075566977,9,N,Moderado,S,N,N,N,2.135266354890094,D
1194,17,1,1,1,18.018154605339813,12,N,Moderado,N,N,N,N,2.255698914963147,D
1195,17,1,0,0,13.483738976592276,11,S,Baixo,S,N,S,N,2.751145787611705,C
1196,16,1,1,0,12.665378346749778,26,N,Alto,S,S,N,N,0.8976341586164038,E
1197,16,1,0,4,1.9899245236127627,0,N,Baixo,S,N,N,S,3.117354434785501,B
1198,18,0,2,1,12.083478763451836,27,N,Alto,S,N,S,N,1.2875951312580094,E
1199,15,1,2,2,2.4192132447698467,21,N,Moderado,N,N,N,N,0.5710530980330257,E
1200,17,1,2,3,1.573953503907981,28,N,Alto,S,N,N,N,0.5813557994949716,E
1201,17,0,1,2,10.546217912847863,18,N,Baixo,N,N,S,N,1.6434624040739565,E
1202,18,1,1,1,8.055710680929899,18,N,Baixo,N,N,N,N,1.2348440407820207,E
1203,17,0,0,2,11.776205403124465,5,N,Alto,N,S,N,S,2.968093619579765,C
1204,15,1,2,2,1.784443361144772,12,N,Moderado,S,N,N,N,2.009298479722319,D
1205,18,0,0,2,8.619661256945168,18,N,Baixo,S,N,N,N,1.146086034129592,E
1206,15,0,0,2,3.4957343009031594,12,S,Elevado,N,N,N,N,2.1923631978552875,D
1207,18,0,0,4,19.74200171848233,26,S,Baixo,S,N,N,N,0.94573087329995,E
1208,18,0,0,2,11.223004248703488,25,N,Moderado,S,N,N,N,0.5672500284902902,E
1209,16,1,1,1,13.748737218817348,21,N,Baixo,N,N,N,N,0.9707643470928292,E
1210,15,0,0,2,6.508365613652156,20,S,Moderado,S,N,S,S,1.6560601255004677,E
1211,17,1,2,0,1.894778295586883,3,N,Moderado,N,N,S,N,2.8393132491560324,C
1212,17,0,0,3,19.517417255670733,23,N,Baixo,N,N,S,S,0.189818059909026,E
1213,15,0,0,1,5.7251807076636645,1,N,Alto,S,N,N,N,3.25829468502287,B
1214,17,0,1,1,8.476163703471485,14,S,Moderado,N,N,N,N,1.9200558526588956,E
1215,17,1,0,3,12.9972784340515,11,N,Alto,N,N,N,N,2.0217714943693785,D
1216,15,0,0,2,0.4939459537222257,29,S,Baixo,S,N,N,N,0.1259330746249498,E
1217,18,1,2,1,16.205182610345737,26,S,Moderado,S,N,N,N,1.2870134123902284,E
1218,15,1,0,2,10.731563800572406,6,N,Nenhum,S,N,S,N,2.591426703229313,C
1219,18,1,2,3,5.564343741376443,19,S,Alto,N,N,N,N,1.4633796485356,E
1220,17,1,0,1,1.232159705849385,17,N,Alto,N,N,N,N,1.465549386433812,E
1221,17,1,0,3,3.2499683094888288,22,N,Alto,S,S,N,S,1.710466837709535,E
1222,17,1,2,0,17.900677177068737,12,N,Moderado,N,S,N,S,2.288505685252231,D
1223,16,1,0,2,13.72048447871782,16,N,Alto,N,N,S,N,1.9609688486532324,E
1224,18,1,0,3,4.998034432737796,3,N,Alto,N,N,N,N,2.6216233262773407,C
1225,16,1,0,1,1.3120152989005909,24,N,Nenhum,S,N,N,N,0.7683163859836675,E
1226,16,0,0,2,13.812306247732726,13,N,Baixo,N,N,S,N,1.8064063454058108,E
1227,15,0,2,1,11.448154519355302,19,N,Moderado,N,N,N,N,0.88186635307777,E
1228,16,0,0,2,8.090390489164701,27,N,Alto,N,S,N,N,0.8170682206563473,E
1229,15,0,2,2,7.272228983801277,12,S,Nenhum,N,N,N,N,1.4461325277019692,E
1230,15,0,2,2,4.336285518582166,2,N,Alto,N,S,N,N,3.339094362200312,B
1231,16,1,0,1,13.392225130750353,25,N,Moderado,N,N,N,N,0.8196254779474454,E
1232,18,1,3,1,19.41336055587741,25,N,Moderado,N,N,N,N,0.6768179731112823,E
1233,18,1,0,0,3.514304916736517,17,N,Baixo,N,S,N,S,1.3895448744649723,E
1234,18,1,3,1,11.942332400310068,13,N,Moderado,N,S,N,S,1.9915084140251773,E
1235,18,1,0,2,8.483701114919524,14,N,Nenhum,N,S,N,N,1.6398675504146123,E
1236,18,1,1,3,8.933774434893298,2,N,Nenhum,N,S,N,N,2.511743020605421,C
1237,16,1,0,2,5.082945602556288,0,N,Alto,N,N,S,N,2.9839199495864985,C
1238,16,0,0,2,16.50269751322838,25,S,Moderado,N,N,S,N,1.25865485443205,E
1239,17,0,1,4,9.705112082944822,23,S,Moderado,N,N,N,N,1.4179299273727557,E
1240,18,0,2,2,10.86811704396528,16,N,Baixo,S,N,S,N,1.5970165723817666,E
1241,16,0,0,3,6.095218255946515,2,S,Moderado,N,S,N,N,3.08869986818596,B
1242,17,1,0,2,3.636169313338995,13,N,Nenhum,S,S,N,N,1.6413414427787147,E
1243,18,1,2,1,1.7182077640564095,2,N,Moderado,N,S,N,N,2.5868706562634283,C
1244,15,1,1,0,14.282382818498318,12,S,Moderado,N,N,N,N,2.389032645212185,D
1245,17,0,3,2,3.924685633757112,14,N,Moderado,S,N,N,N,1.8981464002812247,E
1246,16,1,2,1,13.801507083775954,17,N,Elevado,N,S,N,N,2.1104879749817496,D
1247,15,1,3,1,7.807528920939077,13,N,Moderado,N,N,N,N,1.7002735894049137,E
1248,15,1,2,2,8.315496019793029,20,N,Moderado,S,N,N,N,1.0444999950877136,E
1249,15,0,0,2,9.383549921855431,25,N,Moderado,N,S,N,N,1.1941661337644758,E
1250,17,1,0,2,7.354170162550863,2,N,Baixo,N,N,S,N,2.6491368281965504,C
1251,16,0,2,1,2.0123995444518017,18,N,Alto,N,S,N,N,1.2341413889277302,E
1252,15,0,1,1,6.192636200056915,7,N,Moderado,S,N,N,N,2.127408865912826,D
1253,18,0,0,2,13.274687213878767,3,S,Baixo,S,N,N,N,2.913887649138132,C
1254,15,0,0,4,13.31568802937742,3,N,Alto,N,N,N,S,3.119393913150377,B
1255,15,1,3,2,5.724486144799887,18,S,Nenhum,N,N,N,N,1.0363787383257312,E
1256,17,0,1,3,9.20205253115376,10,N,Elevado,S,N,N,S,2.403284547023526,D
1257,17,0,0,2,3.8689445602387496,0,S,Alto,N,N,N,N,3.1565080639094454,B
1258,16,1,0,2,4.207441630596716,7,S,Moderado,N,S,S,N,2.723471858740064,C
1259,18,1,0,1,0.4609417681321481,14,N,Baixo,S,S,N,N,1.5309511463109082,E
1260,17,0,0,2,17.934930998154893,0,N,Baixo,N,N,N,N,3.468581349135728,B
1261,15,1,0,2,4.214133301498125,6,N,Baixo,S,N,N,N,2.3020320443414053,D
1262,16,0,0,2,4.550677538729266,20,S,Baixo,S,N,N,N,1.265677909199434,E
1263,15,0,2,2,5.592028652902636,19,N,Moderado,S,S,N,S,1.479602227739032,E
1264,15,0,0,2,2.54816143390858,19,N,Elevado,N,N,S,S,1.4450767191993792,E
1265,17,0,2,1,12.785257663627256,23,N,Moderado,N,N,N,N,0.8094338103684621,E
1266,16,1,2,2,1.5028590635517314,10,S,Alto,N,N,N,N,2.1502332699887816,D
1267,18,0,0,1,2.6840485265270053,26,N,Alto,N,N,N,N,0.5591437155118445,E
1268,18,1,1,3,12.895134531801858,28,N,Alto,N,N,N,N,0.5807884851770568,E
1269,17,1,0,1,6.793212409628855,13,N,Nenhum,N,S,S,S,1.602089195984674,E
1270,17,1,2,0,14.158956534023782,21,S,Moderado,N,S,N,N,1.0027983635819373,E
1271,16,1,0,2,11.14849489340284,15,N,Alto,N,N,N,N,1.6630634531990602,E
1272,18,0,1,2,5.120423461230262,13,N,Alto,N,N,N,S,1.5315464597195698,E
1273,18,1,1,2,13.016559009786562,11,N,Elevado,N,N,N,N,2.205842147030335,D
1274,18,0,0,1,2.325473605857613,16,N,Alto,N,N,N,S,1.155338560965664,E
1275,15,1,0,2,10.728207661600608,13,S,Baixo,N,N,N,N,2.153758339869399,D
1276,18,1,1,1,8.742962100900693,9,N,Moderado,S,N,N,S,2.592786686317039,C
1277,15,0,2,3,5.357471656348816,23,N,Nenhum,S,S,N,N,0.9123305070955544,E
1278,16,0,0,3,12.080099954790002,28,S,Alto,N,N,N,N,0.6956309334599464,E
1279,15,0,1,2,17.42667184680565,13,S,Moderado,N,N,N,N,2.139619891368985,D
1280,16,1,0,1,19.97809399526153,17,N,Alto,N,N,N,N,1.5504493308923313,E
1281,18,1,2,2,12.15525537486849,21,N,Elevado,N,N,N,S,1.5475367003506038,E
1282,18,0,0,0,8.094117486583404,8,S,Alto,N,N,S,N,2.966548034294946,C
1283,16,0,2,2,4.5041420043240326,16,N,Moderado,S,N,N,S,1.6336793710032238,E
1284,17,0,0,1,5.141921787902235,5,S,Baixo,N,N,N,N,2.3325403195354064,D
1285,16,0,0,3,9.589099562995314,7,S,Alto,S,S,S,N,3.270262309404739,B
1286,17,1,0,0,7.345554025614184,25,N,Baixo,N,N,N,N,0.3464705925902769,E
1287,15,0,0,2,18.276290452498884,12,S,Baixo,N,N,N,N,1.8949043363401072,E
1288,15,0,1,2,7.365909353114191,17,N,Baixo,N,N,N,N,1.4567426010872695,E
1289,15,0,0,2,7.468891822908709,4,N,Moderado,S,N,N,N,2.5537231512721896,C
1290,18,0,2,0,7.67069024867954,5,N,Baixo,N,N,N,N,2.224197461212005,D
1291,15,1,0,4,16.732404207353163,20,S,Elevado,N,S,S,N,1.8476004181084256,E
1292,17,0,0,2,13.015766416938035,18,N,Elevado,S,N,N,N,1.849760707133483,E
1293,15,1,0,2,12.283377006377854,3,N,Elevado,N,N,S,N,3.268794215560215,B
1294,16,0,0,1,6.682860447677244,6,S,Nenhum,N,N,N,S,2.546516637246023,C
1295,16,0,0,2,16.35808353664879,3,N,Elevado,N,N,N,N,3.1012292205041274,B
1296,18,1,0,2,0.7672772271140227,24,N,Elevado,N,N,S,N,0.6559540779626771,E
1297,16,0,0,0,17.415943446762263,10,S,Elevado,N,S,N,N,3.088512305616677,B
